product_name,product_number,price
"Aurora, Merida and Tiana’s Enchanted Creations",43203,0
Police Station,60316,0
Zane's Titan Mech Battle,71738,0
The Crystal King,71772,0
Lloyd’s Legendary Dragon,71766,0
The Mandalorian’s N-1 Starfighter™,75325,0
Hogwarts™ Magical Trunk,76399,0
The Sky Tower,21173,0
Modular Playhouse,10929,0
Bricks and Animals,11011,0
Magical Ferris Wheel and Slide,41689,0
Fire Command Unit,60282,0
Stunt Show Truck,60294,0
tbd-LEAF-8-2022,71403,0
Big Urchin Beach Ride Expansion Set,71400,0
Classic TV Series Batman™ Cowl,76238,0
Mandalorian Starfighter™,75316,0
Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A,76904,0
Floral Art,31207,29
Grocery Store,60347,385
Olivia's Space Academy,41713,0
Ducati Panigale V4 R,42107,0
The Mandalorian™ Helmet,75328,0
Luke Skywalker™ (Red Five) Helmet,75327,0
Death Star™ Trench Run Diorama,75329,0
Nano Gauntlet,76223,0
Dark Trooper™ Helmet,75343,0
Dragon of the East,80037,0
"Barn, Tractor & Farm Animal Care",10952,0
Bricks Bricks Plates,11717,0
Forest Horseback Riding Center,41683,0
Surfer Beachfront,41693,0
Vacation Beach House,41709,0
tbd-LEAF-14-2022,71409,0
tbd-LEAF-12-2022,71407,0
Imperial Probe Droid™,75306,0
Darth Vader™ Meditation Chamber,75296,0
Catamaran Sea Battle,71748,0
Hogwarts™ Wizard’s Chess,76392,0
In Arishem’s Shadow,76155,0
Batcave™: The Riddler™ Face-off,76183,0
Evil Macaque’s Mech,80033,0
Lunar New Year Traditions,80108,0
Canal Houseboat,41702,0
Sonic the Hedgehog™ – Green Hill Zone,21331,0
Learn about Chinese Culture,10411,0
Water Dragon,71754,0
Darth Vader™ Helmet,75304,0
The Crystal King Temple,71771,0
Central Perk,21319,0
Ambush on Ferrix™,75338,0
4 Privet Drive,75968,0
Fiat 500,10271,0
Cinderella and Prince Charming's Castle,43206,0
Train Station,60335,606
The Child,75318,80
Luigi’s Mansion™ Haunt-and-Seek Expansion Set,71401,0
Attack on the Spider Lair,76175,0
All-Terrain Vehicle,42139,0
tbd-LSH-Batch-C3-2022,76214,0
Infinity Gauntlet,76191,0
Death Star™ Trash Compactor Diorama,75339,0
Dagobah™ Jedi™ Training Diorama,75330,0
Iron Man Armory,76216,0
Hogsmeade™ Village Visit,76388,0
Hogwarts™: Dumbledore’s Office,76402,0
The Shrieking Shack & Whomping Willow™,76407,0
Nezha’s Fire Ring,80034,0
Elf Club House,10275,0
NASA Apollo 11 Lunar Lander,10266,0
Horizon Forbidden West: Tallneck,76989,0
adidas Originals Superstar,10282,0
Bird of Paradise,10289,0
Santa’s Visit,10293,0
Vespa 125,10298,0
tbd-Icons-Seasonal-2022,10308,0
tbd-Icon-MDP2-2022,10497,0
Fire Station & Helicopter,10970,0
Build Together,11020,111
Wild Animals of Asia,10974,0
Statue of Liberty,21042,0
Winnie the Pooh,21326,0
The Red Barn,21187,0
Ferris Wheel,31119,0
tbd-Ideas-4-2022,21334,0
Organic Farm,41721,0
Andrea's Theater School,41714,0
Horse Show Trailer,41722,0
THE BATMAN - BATMOBILE™,42127,0
Ultimate Adventure Castle,43205,0
Medieval Castle,31120,111
Ariel's Underwater Palace,43207,0
Fire Brigade,60321,0
Lunar Research Base,60350,0
Ninja Dojo Temple,71767,0
Ninja Ultra Combo Mech,71765,0
Ultra Sonic Raider,71739,0
Wildlife Rescue Operation,60302,586
Boba Fett's Throne Room,75326,0
Kai’s Golden Dragon Raider,71773,0
BD-1™,75335,0
Inquisitor Transport Scythe™,75336,0
tbd-PT-IP-3-2021,75573,0
Hogwarts™ Express,75955,0
Hogwarts™ Astronomy Tower,75969,0
Avengers: Endgame Final Battle,76192,0
T. rex Breakout,76956,0
T. rex & Atrociraptor Dinosaur Breakout,76948,0
The Ministry of Magic™,76403,0
Happy Childhood Moments,10943,0
Heartlake City Shopping Mall,41450,0
Heartlake City Grand Hotel,41684,0
Passenger Airplane,60262,0
Magical Funfair Roller Coaster,41685,0
Town Center,60292,0
Stunt Show Arena,60295,0
Wildlife Rescue Camp,60307,0
The Bad Batch™ Attack Shuttle,75314,0
Bowser’s Airship Expansion Set,71391,0
Hogwarts™ Clock Tower,75948,0
Attack on the Burrow,75980,0
Rise of the Domo,76156,0
Parking Garage and Car Wash,10948,0
Taj Mahal,21056,0
Lunar New Year Ice Festival,80109,0
Monkie Kid's Galactic Explorer,80035,0
Monkie Kid’s Team Van,80038,0
tbd-ideas-6-2022,21336,0
Fender® Stratocaster™,21329,0
Viking Ship and the Midgard Serpent,31132,0
Jim Lee Batman™ Collection,31205,0
Temple of the Endless Sea,71755,0
Nya's Samurai X MECH,71775,0
Dom's Dodge Charger,42111,0
Cargo Train,10875,0
Wild Animals of the World,10975,0
Pickup Truck,10290,0
The Llama Village,21188,0
Pirate Ship,31109,184
12 Grimmauld Place,76408,0
Art Project - Create Together,21226,0
The Modern Treehouse,21174,0
Disney's Mickey Mouse,31202,0
Thor's Hammer,76209,0
123 Sesame Street,21324,0
Harry Potter™ Hogwarts™ Crests,31201,0
Elvis Presley “The King”,31204,0
Off-Road Buggy,42124,0
LEGO® NASA Apollo Saturn V,92176,0
tbd-LEAF-13-2022,71408,0
Great Pyramid of Giza,21058,0
The Razor Crest™,75292,0
Amusement Park,10956,0
tbd-IP-LSW-19-2022,75337,0
Giganotosaurus & Therizinosaurus Attack,76949,0
Main Street Building,41704,0
The Rolling Stones,31206,0
Harry Potter™ & Hermione Granger™,76393,0
Passenger Train,60197,0
Rocket Launch Center,60351,0
Express Passenger Train,60337,0
App-Controlled Transformation Vehicle,42140,0
Double Loop Stunt Arena,60339,0
Hydro Bounty,71756,0
tbd-PT-IP-4-2021,75574,0
Lloyd’s Golden Ultra Dragon,71774,0
Hogwarts™ Chamber of Secrets,76389,0
Porsche 911,10295,0
Ford® F-150 Raptor,42126,0
The City of Lanterns,80036,0
Ford Mustang,10265,0
Vincent van Gogh - The Starry Night,21333,0
tbd-Icons-IP-Vehicle-2-2022,10304,0
The Guardians’ Ship,76193,0
Freight Train,60336,60
Volkswagen T2 Camper Van,10279,0
tbd-IP-LSW4-2022,75323,0
Optimus Prime,10302,0
Heavy-duty Tow Truck,42128,0
Imperial Light Cruiser™,75315,0
Mickey Mouse & Minnie Mouse Buildable Ch,43179,0
NASA Space Shuttle Discovery,10283,0
Back to the Future Time Machine,10300,0
McLaren Formula 1™ Race Car,42141,0
Airbus H175 Rescue Helicopter,42145,0
The Heavenly Realms,80039,0
Ferrari 488 GTE “AF Corse #51”,42125,0
Land Rover Defender,42110,1362
Super Mario 64™ Question Mark Block,71395,0
1989 Batwing,76161,0
Boutique Hotel,10297,0
Ghostbusters™ ECTO-1,10274,0
R2-D2™,75308,0
tbd-Icons-IP-Games-1-2022,10306,0
Luke Skywalker’s Landspeeder™,75341,0
tbd-Ideas-7-2022,21337,0
BMW M 1000 RR,42130,0
tbd-LSH-17-2022,76218,0
Nintendo Entertainment System™,71374,0
tbd-LEAF-16-2022,71411,0
tbd-Ideas-5-2022,21335,0
Assembly Square,10255,0
Hogwarts™ Icons - Collectors' Edition,76391,0
Camp Nou – FC Barcelona,10284,0
Old Trafford - Manchester United,10272,0
App-Controlled 4x4 Mercedes-Benz Zetros Trial Truck,42129,0
tbd-LSH-14-2022,76215,0
Daily Bugle,76178,0
Robot Inventor,51515,0
NINJAGO® City Gardens,71741,111
Real Madrid – Santiago Bernabéu Stadium,10299,0
tbd-Icons-Special-1-2022,10305,0
Mos Eisley Cantina™,75290,0
Grand Piano,21323,0
Republic Gunship™,75309,0
Ferrari Daytona SP3,42143,0
Bugatti Chiron,42083,0
Lamborghini Sián FKP 37,42115,0
Diagon Alley™,75978,0
App-Controlled Cat® D11 Bulldozer,42131,0
tbd-LSH-9-2022,76210,0
tbd-HP-10-2022-D2C,76405,0
tbd-IP-LSW-13-2022,75331,0
tbd-Icons-World-Buildings-1-2022,10307,0
AT-AT™,75313,32
Imperial Star Destroyer™,75252,0
Millennium Falcon™,75192,0
6x6 Volvo Articulated Hauler,42114,0
