product_name,product_number,price,discount_price
Pyroraptor & Dilophosaurus Transport,76951,219,0
Mickey & Friends Fire Truck & Station,10776,166,0
Fire Station,60320,283,0
Minnie’s House and Café,10942,299,0
Magical Caravan,41688,171,0
Street Food Market,41701,202,0
Forest Camper Van and Sailboat,41681,341,0
Flower Bouquet,10280,138,0
Ford GT Heritage Edition and Bronco R,76905,,0
Fire Dragon Attack,71753,498,0
tbd-PT-IP-2-2021,75572,194,0
Frozen Ice Castle,10899,,0
Spider-Man & Friends: Funfair Adventure,10963,299,0
Wild Animals of Europe,10979,262,0
Singapore,21057,239,0
Water Park,41720,299,0
Roller Disco Arcade,41708,284,0
Designer Toolkit - Patterns,41961,265,0
The Training Grounds,21183,318,0
The Goat Boat,76208,305,0
"Aurora, Merida and Tiana’s Enchanted Creations",43203,289,0
Adventures with Mario Starter Course,71360,,0
Adventures with Luigi Starter Course,71387,92,0
Police Station,60316,259,0
Lloyd’s Legendary Dragon,71766,259,0
The Crystal King,71772,269,0
The Mandalorian’s N-1 Starfighter™,75325,307,0
Pet Day-Care Center,41718,799,0
Hogwarts™ Magical Trunk,76399,222,0
The First Adventure,21169,288,0
Creative animals,10934,204,0
Magical Ferris Wheel and Slide,41689,347,0
Tokyo,21051,332,0
Stunt Show Truck,60294,276,0
Grocery Store,60347,337,0
Classic TV Series Batman™ Cowl,76238,357,0
Carnage,76199,320,0
Mandalorian Starfighter™,75316,329,0
Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A,76904,349,0
Floral Art,31207,272,0
Emma's Art School,41711,208,0
Batman™ Cowl,76182,233,0
Luke Skywalker™ (Red Five) Helmet,75327,262,0
Olivia's Space Academy,41713,299,0
The Mandalorian™ Helmet,75328,279,0
Bricks Bricks Plates,11717,,0
Death Star™ Trench Run Diorama,75329,245,0
Andrea's Family House,41449,396,0
Dragon of the East,80037,375,0
"Barn, Tractor & Farm Animal Care",10952,399,0
Heartlake City School,41682,285,0
Friendship Bus,41395,198,0
tbd-LEAF-12-2022,71407,299,0
tbd-LEAF-14-2022,71409,299,0
Forest Horseback Riding Center,41683,325,0
In Arishem’s Shadow,76155,350,0
Vacation Beach House,41709,315,0
Catamaran Sea Battle,71748,140,0
Venom,76187,439,0
Learn about Chinese Culture,10411,400,0
Lunar New Year Traditions,80108,,0
Evil Macaque’s Mech,80033,265,0
Hogwarts™ Wizard’s Chess,76392,,0
Friendship Tree House,41703,279,0
Ambush on Ferrix™,75338,399,0
Fiat 500,10271,999,0
Central Perk,21319,428,0
Dagobah™ Jedi™ Training Diorama,75330,274,0
Luigi’s Mansion™ Haunt-and-Seek Expansion Set,71401,340,0
Attack on the Spider Lair,76175,327,0
The Shrieking Shack & Whomping Willow™,76407,507,0
Hogwarts™: Dumbledore’s Office,76402,599,0
Nezha’s Fire Ring,80034,329,0
Infinity Gauntlet,76191,389,0
Elf Club House,10275,315,0
Horizon Forbidden West: Tallneck,76989,327,0
Santa’s Visit,10293,569,0
Wild Animals of Asia,10974,389,0
tbd-Ideas-4-2022,21334,599,0
tbd-Icon-MDP2-2022,10497,469,0
Winnie the Pooh,21326,,0
Fire Station & Helicopter,10970,356,0
Statue of Liberty,21042,449,0
Andrea's Theater School,41714,726,0
Ultimate Adventure Castle,43205,169,0
Wildlife Rescue Operation,60302,464,0
Organic Farm,41721,511,0
Hospital,60330,546,0
Ninja Dojo Temple,71767,589,0
Police Chase at the Bank,60317,507,0
Boba Fett's Throne Room,75326,589,0
tbd-PT-IP-3-2021,75573,,0
Hogwarts™ Astronomy Tower,75969,501,0
Happy Childhood Moments,10943,372,0
Heartlake City Grand Hotel,41684,449,0
Heartlake City Shopping Mall,41450,501,0
Bowser’s Airship Expansion Set,71391,529,0
Town Center,60292,535,0
The Bad Batch™ Attack Shuttle,75314,539,0
Wildlife Rescue Camp,60307,431,0
Lunar New Year Ice Festival,80109,579,0
Hogwarts™ Clock Tower,75948,429,0
Parking Garage and Car Wash,10948,559,0
Rise of the Domo,76156,376,0
Monkie Kid’s Team Van,80038,,0
The White House,21054,498,0
Viking Ship and the Midgard Serpent,31132,448,0
Jim Lee Batman™ Collection,31205,440,0
Fender® Stratocaster™,21329,,0
Wild Animals of the World,10975,1910,0
Cargo Train,10875,410,0
Nya's Samurai X MECH,71775,390,0
Art Project - Create Together,21226,583,0
LEGO® NASA Apollo Saturn V,92176,315,0
The Razor Crest™,75292,535,0
Off-Road Buggy,42124,262,0
Passenger Train,60197,519,0
The Rolling Stones,31206,593,0
The City of Lanterns,80036,721,0
tbd-PT-IP-4-2021,75574,245,0
The Guardians’ Ship,76193,269,0
The Friends Apartments,10292,646,0
Cargo Train,60198,999,0
Mickey Mouse & Minnie Mouse Buildable Ch,43179,1289,0
Ferrari 488 GTE “AF Corse #51”,42125,726,0
Super Mario 64™ Question Mark Block,71395,979,0
1989 Batwing,76161,149,0
tbd-Icons-IP-Games-1-2022,10306,792,0
The Globe,21332,249,0
Haunted House,10273,1269,0
tbd-LEAF-16-2022,71411,1006,0
NINJAGO® City Gardens,71741,567,0
App-Controlled 4x4 Mercedes-Benz Zetros Trial Truck,42129,1999,0
Hogwarts™ Icons - Collectors' Edition,76391,347,0
Assembly Square,10255,949,0
Daily Bugle,76178,2460,0
Old Trafford - Manchester United,10272,1021,0
Robot Inventor,51515,3321,0
tbd-HP-10-2022-D2C,76405,2655,0
Lamborghini Sián FKP 37,42115,1999,0
tbd-Icons-World-Buildings-1-2022,10307,2143,0
tbd-LSH-9-2022,76210,3145,0
