product_name,product_number,price
Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One,76909,
Hogwarts™: Fluffy Encounter,76387,
Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3,76910,
Mei’s Dragon Car,80031,
Monkie Kid’s Staff Creations,80030,
tbd-LEAF-17-2022,71412,
Bonsai Tree,10281,
LEGO® Large Creative Brick Box,10698,
Iron Man Figure,76206,74.18
Mickey and Friends Castle Defenders,10780,
Spider-Man Webquarters Hangout,10784,
Deluxe Brick Box,10914,
Police Station & Helicopter,10959,
Wild Animals of South America,10973,
Bricks and Wheels,11014,
90 Years of Play,11021,
The Ice Castle,21186,
Paris,21044,340.60
Mia's Wildlife Rescue,41717,
Surfer Beach House,31118,
The Abandoned Village,21190,
Ford Mustang Shelby® GT500®,42138,
Unicorn Creative Family Pack,41962,68.49
Formula E® Porsche 99X Electric,42137,
Jeep® Wrangler,42122,
McLaren Senna GTR™,42123,
I am Groot,76217,
Jay and Nya's Race Car EVO,71776,
Barn & Farm Animals,60346,
Hogwarts™ Hospital Wing,76398,
Hoth™ AT-ST™,75322,
Obi-Wan Kenobi™ vs. Darth Vader™,75334,
tbd-LSH-Batch-C1-2022,76211,
Hogwarts™ Courtyard: Sirius’s Rescue,76401,
Hungarian Horntail Dragon,76406,
XL-15 Spaceship,76832,
Pyroraptor & Dilophosaurus Transport,76951,
Triceratops Pickup Truck Ambush,76950,
T. rex Dinosaur Breakout,76944,
Quetzalcoatlus Plane Ambush,76947,
Wildlife Rescue Off-Roader,60301,281.86
Mickey & Friends Fire Truck & Station,10776,
Fire Station,60320,481.18
Minnie’s House and Café,10942,
Street Food Market,41701,
Forest Camper Van and Sailboat,41681,
Magical Caravan,41688,320.30
Space Shuttle Adventure,31117,
Belle and Rapunzel's Royal Stables,43195,
Police Patrol Boat,60277,
X-1 Ninja Charger,71737,
Smashing Chimpanzee Stunt Loop,60338,
Scout Trooper™ Helmet,75305,
Fire Dragon Attack,71753,
The Keepers' Village,71747,
Ford GT Heritage Edition and Bronco R,76905,
tbd-PT-IP-2-2021,75572,
Frozen Ice Castle,10899,
Boba Fett’s Starship™,75312,
Chang’e Moon Cake Factory,80032,
Spider-Man & Friends: Funfair Adventure,10963,
Wild Animals of Europe,10979,
Roller Disco Arcade,41708,
Lunar Space Station,60349,
Flower Bouquet,10280,
Water Park,41720,495.38
Adventures with Mario Starter Course,71360,
The Goat Boat,76208,
Adventures with Luigi Starter Course,71387,
Pet Day-Care Center,41718,
Steam Train,10874,
The Training Grounds,21183,
Police Station,60316,
Designer Toolkit - Patterns,41961,
"Aurora, Merida and Tiana’s Enchanted Creations",43203,
Zane's Titan Mech Battle,71738,
The Mandalorian’s N-1 Starfighter™,75325,
The Crystal King,71772,
Lloyd’s Legendary Dragon,71766,
Hogwarts™ Magical Trunk,76399,
Magical Ferris Wheel and Slide,41689,
Bricks and Animals,11011,
Modular Playhouse,10929,
Fire Command Unit,60282,
The Sky Tower,21173,
Stunt Show Truck,60294,
Grocery Store,60347,385.48
Big Urchin Beach Ride Expansion Set,71400,
tbd-LEAF-8-2022,71403,
Mandalorian Starfighter™,75316,
Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A,76904,
Classic TV Series Batman™ Cowl,76238,
Luke Skywalker™ (Red Five) Helmet,75327,
Floral Art,31207,29.43
Olivia's Space Academy,41713,
Ducati Panigale V4 R,42107,
Death Star™ Trench Run Diorama,75329,
The Mandalorian™ Helmet,75328,
Nano Gauntlet,76223,
Dark Trooper™ Helmet,75343,
Dragon of the East,80037,
Bricks Bricks Plates,11717,
"Barn, Tractor & Farm Animal Care",10952,
Forest Horseback Riding Center,41683,
Vacation Beach House,41709,
Surfer Beachfront,41693,
tbd-LEAF-12-2022,71407,
tbd-LEAF-14-2022,71409,
Catamaran Sea Battle,71748,
Darth Vader™ Meditation Chamber,75296,
Hogwarts™ Wizard’s Chess,76392,
Imperial Probe Droid™,75306,
Batcave™: The Riddler™ Face-off,76183,
In Arishem’s Shadow,76155,
Evil Macaque’s Mech,80033,
Lunar New Year Traditions,80108,
Sonic the Hedgehog™ – Green Hill Zone,21331,
Learn about Chinese Culture,10411,
Canal Houseboat,41702,
Train Station,60335,606.99
The Crystal King Temple,71771,
Water Dragon,71754,
Darth Vader™ Helmet,75304,
Ambush on Ferrix™,75338,
Fiat 500,10271,
4 Privet Drive,75968,
Central Perk,21319,
Cinderella and Prince Charming's Castle,43206,
Attack on the Spider Lair,76175,
Luigi’s Mansion™ Haunt-and-Seek Expansion Set,71401,
All-Terrain Vehicle,42139,
Dagobah™ Jedi™ Training Diorama,75330,
The Child,75318,80.73
Infinity Gauntlet,76191,
Death Star™ Trash Compactor Diorama,75339,
tbd-LSH-Batch-C3-2022,76214,
Iron Man Armory,76216,
Hogwarts™: Dumbledore’s Office,76402,
Hogsmeade™ Village Visit,76388,
The Shrieking Shack & Whomping Willow™,76407,
Nezha’s Fire Ring,80034,
Elf Club House,10275,
Horizon Forbidden West: Tallneck,76989,
NASA Apollo 11 Lunar Lander,10266,
adidas Originals Superstar,10282,
Santa’s Visit,10293,
Vespa 125,10298,
Bird of Paradise,10289,
tbd-Icon-MDP2-2022,10497,
tbd-Icons-Seasonal-2022,10308,
Wild Animals of Asia,10974,
Fire Station & Helicopter,10970,
Build Together,11020,111.00
Statue of Liberty,21042,
Winnie the Pooh,21326,
The Red Barn,21187,
tbd-Ideas-4-2022,21334,
Ferris Wheel,31119,
Andrea's Theater School,41714,
Organic Farm,41721,
Horse Show Trailer,41722,
THE BATMAN - BATMOBILE™,42127,
Ultimate Adventure Castle,43205,
Ariel's Underwater Palace,43207,
Fire Brigade,60321,
Ultra Sonic Raider,71739,
Medieval Castle,31120,111.00
Lunar Research Base,60350,
Ninja Ultra Combo Mech,71765,
Kai’s Golden Dragon Raider,71773,
Ninja Dojo Temple,71767,
Boba Fett's Throne Room,75326,
BD-1™,75335,
tbd-PT-IP-3-2021,75573,
Inquisitor Transport Scythe™,75336,
Hogwarts™ Astronomy Tower,75969,
Hogwarts™ Express,75955,
Avengers: Endgame Final Battle,76192,
Wildlife Rescue Operation,60302,586.60
The Ministry of Magic™,76403,
T. rex & Atrociraptor Dinosaur Breakout,76948,
T. rex Breakout,76956,
Happy Childhood Moments,10943,
Heartlake City Shopping Mall,41450,
Town Center,60292,
Stunt Show Arena,60295,
Passenger Airplane,60262,
Wildlife Rescue Camp,60307,
Heartlake City Grand Hotel,41684,
Magical Funfair Roller Coaster,41685,
Bowser’s Airship Expansion Set,71391,
The Bad Batch™ Attack Shuttle,75314,
Monkie Kid's Galactic Explorer,80035,
Hogwarts™ Clock Tower,75948,
Attack on the Burrow,75980,
Lunar New Year Ice Festival,80109,
Parking Garage and Car Wash,10948,
Rise of the Domo,76156,
Monkie Kid’s Team Van,80038,
Taj Mahal,21056,
Fender® Stratocaster™,21329,
tbd-ideas-6-2022,21336,
Jim Lee Batman™ Collection,31205,
Nya's Samurai X MECH,71775,
Temple of the Endless Sea,71755,
